HomeTeam,AwayTeam,Week
Nancy,Toulouse,27
St Etienne,Caen,27
Lille,Bordeaux,27
Nice,Montpellier,27
Marseille,Paris SG,27
Lyon,Metz,27
Angers,Bastia,27
Rennes,Lorient,27
Nantes,Dijon,27
Guingamp,Monaco,27
Lorient,Marseille,28
Bordeaux,Lyon,28
Montpellier,Guingamp,28
Paris SG,Nancy,28
Bastia,St Etienne,28
Dijon,Nice,28
Toulouse,Lille,28
Monaco,Nantes,28
Caen,Angers,28
Metz,Rennes,28
Nancy,Lille,29
St Etienne,Metz,29
Lorient,Paris SG,29
Montpellier,Nantes,29
Nice,Caen,29
Marseille,Angers,29
Lyon,Toulouse,29
Rennes,Dijon,29
Monaco,Bordeaux,29
Guingamp,Bastia,29
Nancy,Lorient,30
Bordeaux,Montpellier,30
Lille,Marseille,30
Paris SG,Lyon,30
Dijon,St Etienne,30
Toulouse,Rennes,30
Angers,Guingamp,30
Nantes,Nice,30
Caen,Monaco,30
Metz,Bastia,30
Lorient,Caen,31
Montpellier,Toulouse,31
Nice,Bordeaux,31
Marseille,Dijon,31
Bastia,Lille,31
Rennes,Lyon,31
Monaco,St Etienne,31
Nantes,Angers,31
Guingamp,Nancy,31
Metz,Paris SG,31
Nancy,Rennes,32
St Etienne,Nantes,32
Bordeaux,Metz,32
Lille,Nice,32
Lyon,Lorient,32
Paris SG,Guingamp,32
Dijon,Bastia,32
Toulouse,Marseille,32
Angers,Monaco,32
Caen,Montpellier,32
Montpellier,Lorient,33
Nice,Nancy,33
Marseille,St Etienne,33
Bastia,Lyon,33
Angers,Paris SG,33
Rennes,Lille,33
Monaco,Dijon,33
Nantes,Bordeaux,33
Guingamp,Toulouse,33
Metz,Caen,33
Nancy,Marseille,34
St Etienne,Rennes,34
Lorient,Metz,34
Bordeaux,Bastia,34
Lille,Guingamp,34
Lyon,Monaco,34
Paris SG,Montpellier,34
Dijon,Angers,34
Toulouse,Nice,34
Caen,Nantes,34
Montpellier,Lille,35
Nice,Paris SG,35
Bastia,Rennes,35
Dijon,Bordeaux,35
Angers,Lyon,35
Monaco,Toulouse,35
Nantes,Lorient,35
Caen,Marseille,35
Guingamp,St Etienne,35
Metz,Nancy,35
Nancy,Monaco,36
St Etienne,Bordeaux,36
Lorient,Angers,36
Lille,Metz,36
Marseille,Nice,36
Lyon,Nantes,36
Paris SG,Bastia,36
Toulouse,Caen,36
Rennes,Montpellier,36
Guingamp,Dijon,36
St Etienne,Paris SG,37
Bordeaux,Marseille,37
Montpellier,Lyon,37
Nice,Angers,37
Bastia,Lorient,37
Dijon,Nancy,37
Monaco,Lille,37
Nantes,Guingamp,37
Caen,Rennes,37
Metz,Toulouse,37
Nancy,St Etienne,38
Lorient,Bordeaux,38
Lille,Nantes,38
Marseille,Bastia,38
Lyon,Nice,38
Paris SG,Caen,38
Toulouse,Dijon,38
Angers,Montpellier,38
Rennes,Monaco,38
Guingamp,Metz,38
